index,model,suffix,train_mcc,val_mcc,test_mcc,train_auroc,val_auroc,test_auroc,train_f1,val_f1,test_f1,train_id,val_id,test_id,embedding,strategy
11,MLP,0,0.8178424695239557,0.45105282979287975,0.5347232573264568,0.9109987745098039,0.7342005958291956,0.7658005474527108,0.908695652173913,0.7283783783783784,0.7707865168539326,part_1,part_0,part_2,eve,CV
12,KNN,0,0.6119928134114678,0.4880761525490818,0.3874086199839,0.807827818627451,0.7406749193120072,0.7014299900695135,0.8021739130434783,0.748314606741573,0.6959459459459459,part_1,part_2,part_0,eve,CV
13,LogReg,0,0.6042574780667381,0.47958062370290244,0.3915909150844246,0.8038449754901961,0.738050006128202,0.7011122144985105,0.8021739130434783,0.7438202247191011,0.7094594594594594,part_1,part_2,part_0,eve,CV
14,RandomForest,0,0.9868038189922217,0.5670502960454703,0.46021352936720356,0.9936427696078431,0.782428402173469,0.7394240317775571,0.9934782608695653,0.7865168539325842,0.7297297297297297,part_1,part_2,part_0,eve,CV
15,MLP,0,0.7857734657923505,0.548007790365486,0.46047406824838577,0.8943397671568627,0.769977938472852,0.7386295928500497,0.8934782608695652,0.7775280898876404,0.7351351351351352,part_1,part_2,part_0,eve,CV
16,KNN,0,0.6398155413715196,0.4953955190980106,0.5310695320176446,0.8173489398210565,0.7564846077457796,0.767156862745098,0.8224719101123595,0.7527027027027028,0.7652173913043478,part_2,part_0,part_1,eve,CV
17,LogReg,0,0.5436769742771738,0.4114737654243403,0.35413044217659556,0.7698655881031172,0.7031578947368422,0.6760110294117647,0.7752808988764045,0.7324324324324324,0.6826086956521739,part_2,part_0,part_1,eve,CV
18,RandomForest,0,0.9863683998717522,0.5739633775771991,0.523887776092391,0.9929423540466561,0.7937239324726911,0.7632123161764706,0.9932584269662922,0.7972972972972974,0.7630434782608696,part_2,part_0,part_1,eve,CV
19,MLP,0,0.7188774080970248,0.5384582923423569,0.6032370068000821,0.8538219553049802,0.7752532274081431,0.8034237132352942,0.8606741573033708,0.7810810810810811,0.7978260869565217,part_2,part_0,part_1,eve,CV
20,KNN,0,0.5316711831589715,0.44147291009275763,0.3643209039104034,0.7565673897945009,0.7221583946078431,0.6862363455809335,0.7685393258426967,0.7195652173913043,0.6432432432432432,part_2,part_1,part_0,eve,CV
21,LogReg,0,0.5952994789272196,0.4415511794212834,0.4136032920579894,0.7975037790578912,0.7210860906862745,0.7062760675273088,0.8000000000000002,0.7239130434782609,0.7310810810810812,part_2,part_1,part_0,eve,CV
22,RandomForest,0,1.0,0.5334017348947726,0.5601192391227504,1.0,0.7681142769607843,0.7867924528301887,1.0,0.7673913043478262,0.7905405405405406,part_2,part_1,part_0,eve,CV
23,MLP,0,0.7137397971424082,0.5944812001886962,0.49693397785527743,0.8522694774686441,0.7990196078431373,0.755690168818272,0.8584269662921349,0.7934782608695652,0.7581081081081081,part_2,part_1,part_0,eve,CV
24,KNN,1,0.5230002737183445,0.48986422392873785,0.4687717710846483,0.742979145978153,0.7311197916666667,0.7342709482371205,0.7878378378378377,0.7478260869565218,0.7258426966292134,part_0,part_1,part_2,eve,CV
25,LogReg,1,0.5940190126488946,0.4833630630689007,0.6019578323692916,0.7853227408142999,0.7431832107843137,0.8019365118274299,0.8175675675675675,0.741304347826087,0.8022471910112359,part_0,part_1,part_2,eve,CV
26,RandomForest,1,0.9941285643160779,0.4776780076134225,0.5891131751169203,0.9962264150943396,0.740234375,0.7962066429709523,0.9972972972972973,0.7391304347826085,0.7932584269662921,part_0,part_1,part_2,eve,CV
27,MLP,1,0.6534647579418686,0.5119179012414082,0.5851082585145281,0.818669314796425,0.7563189338235294,0.7938064305266168,0.8432432432432433,0.758695652173913,0.7932584269662921,part_0,part_1,part_2,eve,CV
28,KNN,1,0.5230002737183445,0.4687717710846483,0.48986422392873785,0.742979145978153,0.7342709482371205,0.7311197916666667,0.7878378378378377,0.7258426966292134,0.7478260869565218,part_0,part_2,part_1,eve,CV
29,LogReg,1,0.5940190126488946,0.6019578323692916,0.4833630630689007,0.7853227408142999,0.8019365118274299,0.7431832107843137,0.8175675675675675,0.8022471910112359,0.741304347826087,part_0,part_2,part_1,eve,CV
30,RandomForest,1,0.9941285643160779,0.5891131751169203,0.4776780076134225,0.9962264150943396,0.7962066429709523,0.740234375,0.9972972972972973,0.7932584269662921,0.7391304347826085,part_0,part_2,part_1,eve,CV
